,Industry,rate_total_2018,rate_total_2019,Apr_2020_rate
58,Financial activities,2.2,2.1,5.4
63,Government workers,2.3,2.3,9.4
64,Self-Employed,2.8,2.7,9.7
59,Professional and business services,3.9,3.6,9.8
51,"Mining, Oil, Gas",3.4,3.2,10.2
55,Nondurable goods,3.8,3.3,10.2
60,Education and health services,2.6,2.5,10.9
53,Manufacturing,3.3,3,13.2
57,Transportation and utilities,3.4,3.5,13.5
50,"Total, 16 years and over(1)",3.9,3.7,14.4
54,Durable goods,3,2.7,15.1
52,Construction,5.1,4.5,16.6
56,Wholesale and retail trade,4.3,4.1,17.1
62,Other services,3.3,3.2,23
61,Leisure and hospitality,5.7,5.2,39.3
